carat,price
2.63,12659.666666666666
2.64,17407.0
2.65,16314.0
2.66,16991.0
2.67,18686.0
2.68,9042.0
2.7,14341.0
2.71,17146.0
2.72,12088.333333333334
2.74,14385.0
2.75,14285.5
2.77,10424.0
2.8,16909.0
3.0,12378.5
3.01,15910.285714285714
3.02,10577.0
3.04,16956.5
3.05,10453.0
3.11,9823.0
3.22,12545.0
3.24,12300.0
3.4,15964.0
3.5,12587.0
3.51,18701.0
3.65,11668.0
3.67,16193.0
4.0,15984.0
4.01,15223.0
4.13,17329.0
4.5,18531.0
5.01,18018.0
